book_rank,title,author,publisher,price,date_added
1,청춘의 독서,유시민저,웅진지식하우스,"17,010",2025-06-05
2,행복한 철학자,우애령저/펀자이씨(엄유진)그림,하늘재,"17,100",2025-06-05
3,순간을 달리는 할머니 1,펀자이씨(엄유진)글그림,문학동네,"16,200",2025-06-05
4,순간을 달리는 할머니 2,펀자이씨(엄유진)글그림,문학동네,"16,200",2025-06-05
5,단 한 번의 삶,김영하저,복복서가,"15,120",2025-06-05
6,결국 국민이 합니다,이재명저,오마이북,"19,800",2025-06-05
7,어른의 품격을 채우는 100일 필사 노트,김종원저,청림Life,"18,000",2025-06-05
8,초역 부처의 말,코이케 류노스케저/박재현역,포레스트북스,"16,020",2025-06-05
9,엄마의 말 연습,윤지영저,카시오페아,"15,750",2025-06-05
10,어른의 행복은 조용하다,태수저,페이지2북스,"16,020",2025-06-05
11,소년이 온다,한강저,창비,"13,500",2025-06-05
12,에그박사 15,에그박사원저/박송이글/홍종현그림/주세종감수,미래엔아이세움,"14,220",2025-06-05
13,모순,양귀자저,쓰다,"11,700",2025-06-05
14,이로운 보수 의로운 진보,"최강욱,최강혁저",한겨레출판,"18,000",2025-06-05
15,"혹시, 돈 얘기해도 될까요?",주언규저,필름,"17,820",2025-06-05
16,혼모노,성해나저,창비,"16,200",2025-06-05
17,듀얼 브레인,이선 몰릭저/신동숙역,상상스퀘어,"18,900",2025-06-05
18,빛과 실,한강저,문학과지성사,"13,500",2025-06-05
19,우리의 낙원에서 만나자,하태완저,북로망스,"17,550",2025-06-05
20,위버멘쉬,프리드리히 니체저,떠오름,"16,020",2025-06-05
21,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성저,이투스북,"14,850",2025-06-05
22,질문의 격,유선경저,앤의서재,"16,020",2025-06-05
23,돈의 흐름은 되풀이된다,홍춘욱저,포르체,"17,100",2025-06-05
24,급류,정대건저,민음사,"12,600",2025-06-05
