book_rank,title,author,publisher,price,date_added
1,혼모노,성해나저,창비,"16,200",2025-06-24
2,"첫 여름, 완주",김금희저,무제,"15,300",2025-06-24
3,안녕이라 그랬어,김애란저,문학동네,"15,120",2025-06-24
4,청춘의 독서,유시민저,웅진지식하우스,"17,010",2025-06-24
5,세계 경제 지각 변동,박종훈저,글로퍼스,"19,800",2025-06-24
6,단 한 번의 삶,김영하저,복복서가,"15,120",2025-06-24
7,원피스 ONE PIECE 111,오다 에이이치로글그림,대원,"5,400",2025-06-24
8,모순,양귀자저,쓰다,"11,700",2025-06-24
9,우리의 낙원에서 만나자,하태완저,북로망스,"17,550",2025-06-24
10,소년이 온다,한강저,창비,"13,500",2025-06-24
11,어른의 품격을 채우는 100일 필사 노트,김종원저,청림Life,"18,000",2025-06-24
12,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성저,이투스북,"14,850",2025-06-24
13,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성저,이투스북,"14,400",2025-06-24
14,어른의 행복은 조용하다,태수저,페이지2북스,"16,020",2025-06-24
15,초역 부처의 말,코이케 류노스케저/박재현역,포레스트북스,"16,020",2025-06-24
16,미술관에 간 할미,할미저,더퀘스트,"18,900",2025-06-24
17,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS저,YBM(와이비엠),"17,820",2025-06-24
18,워런 버핏 웨이,로버트 해그스트롬저/신용우역,상상스퀘어,"29,700",2025-06-24
19,마침내 특이점이 시작된다,레이 커즈와일저/이충호역/장대익감수,비즈니스북스,"27,000",2025-06-24
20,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS저,YBM(와이비엠),"17,820",2025-06-24
