book_rank,title,author,publisher,price,date_added
1,청춘의 독서,유시민저,웅진지식하우스,"17,010",2025-06-07
2,행복한 철학자,우애령저/펀자이씨(엄유진)그림,하늘재,"17,100",2025-06-07
3,결국 국민이 합니다,이재명저,오마이북,"19,800",2025-06-07
4,단 한 번의 삶,김영하저,복복서가,"15,120",2025-06-07
5,어른의 품격을 채우는 100일 필사 노트,김종원저,청림Life,"18,000",2025-06-07
6,초역 부처의 말,코이케 류노스케저/박재현역,포레스트북스,"16,020",2025-06-07
7,순간을 달리는 할머니 1,펀자이씨(엄유진)글그림,문학동네,"16,200",2025-06-07
8,소년이 온다,한강저,창비,"13,500",2025-06-07
9,순간을 달리는 할머니 2,펀자이씨(엄유진)글그림,문학동네,"16,200",2025-06-07
10,혼모노,성해나저,창비,"16,200",2025-06-07
11,모순,양귀자저,쓰다,"11,700",2025-06-07
12,어른의 행복은 조용하다,태수저,페이지2북스,"16,020",2025-06-07
13,이로운 보수 의로운 진보,"최강욱,최강혁저",한겨레출판,"18,000",2025-06-07
14,우리의 낙원에서 만나자,하태완저,북로망스,"17,550",2025-06-07
15,에그박사 15,에그박사원저/박송이글/홍종현그림/주세종감수,미래엔아이세움,"14,220",2025-06-07
16,"혹시, 돈 얘기해도 될까요?",주언규저,필름,"17,820",2025-06-07
17,엄마의 말 연습,윤지영저,카시오페아,"15,750",2025-06-07
18,멜로우TV 3 : 멜싹오싹 위험한 미션 (친필사인본),멜로우 TV원저/한바리글/차차그림,학산문화사(단행본),"15,120",2025-06-07
19,위버멘쉬,프리드리히 니체저,떠오름,"16,020",2025-06-07
20,그냥 하는 사람,김한균저,온포인트,"16,920",2025-06-07
