book_rank,title,author,publisher,price,date_added
1,혼모노,['성해나(지은이)'],창비,"16,200원",2025-06-23
2,안녕이라 그랬어,['김애란(지은이)'],문학동네,"15,120원",2025-06-23
3,"첫 여름, 완주",['김금희(지은이)'],무제,"15,300원",2025-06-23
4,원피스 111,['오다 에이치로(지은이)'],대원씨아이(만화),"5,400원",2025-06-23
5,스파이 패밀리 15,['엔도 타츠야(지은이)'],학산문화사(만화),"5,400원",2025-06-23
6,괴수 8호 RELAX 2,"['마츠모토 나오야(원작)', 'Kizuku Watanabe(원작)', '유유리(원작)']",서울미디어코믹스(서울문화사),"5,400원",2025-06-23
7,청춘의 독서 (특별증보판),['유시민(지은이)'],웅진지식하우스,"17,010원",2025-06-23
8,단 한 번의 삶,['김영하(지은이)'],복복서가,"15,120원",2025-06-23
9,마침내 특이점이 시작된다,"['레이 커즈와일(지은이)', '이충호(지은이)', '장대익(지은이)']",비즈니스북스,"27,000원",2025-06-23
10,세계 경제 지각 변동,['박종훈(지은이)'],글로퍼스,"19,800원",2025-06-23
11,작은 땅의 야수들,"['김주혜(지은이)', '박소현(지은이)']",다산책방,"16,200원",2025-06-23
12,소년이 온다,['한강(지은이)'],창비,"13,500원",2025-06-23
13,미지의 서울 세트 - 전2권,['이강(지은이)'],Birdbox,"41,400원",2025-06-23
14,고전이 답했다 마땅히 가져야 할 부에 대하여,['고명환(지은이)'],라곰,"16,020원",2025-06-23
15,모순,['양귀자(지은이)'],쓰다,"11,700원",2025-06-23
16,소설 보다 : 여름 2025,"['김지연(지은이)', '이서아(지은이)', '함윤이(지은이)']",문학과지성사,"4,950원",2025-06-23
17,밤새들의 도시,"['김주혜(지은이)', '김보람(지은이)']",다산책방,"17,820원",2025-06-23
18,마법천자문 67,"['알에스미디어(지은이)', '정수영(지은이)', '강용철(지은이)']",아울북,"14,220원",2025-06-23
19,이재명 자서전 그 꿈이 있어 여기까지 왔다,"['이재명(지은이)', '스토리텔링콘텐츠연구소(지은이)']",도서출판 아시아,"15,120원",2025-06-23
20,료의 생각 없는 생각,['료(지은이)'],열림원,"18,000원",2025-06-23
